Data Series,2026 May ,2026 Apr ,2026 Mar ,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May 
      Medicines & Health Supplements,3.8,3.9,1.8,4.3,1.8,0.5,0.6,0.1,-0.9,0.3,-0.2,-1.4,-2.5
      Medical Products,1.5,-1.9,-2.8,-2.3,-2.3,-3.2,-3.3,-3.4,-2.6,-2.7,-2.3,-2.8,-3.8
      Assistive Products,-2.2,-2,-1.8,-2.6,-3.1,-3.3,-3.4,-0.8,0.9,1.5,1.3,-0.7,-0.5
    Outpatient Care Services,0.6,0.5,0.4,0.4,0.3,0.2,0.3,0.4,-1.1,-1,-1.1,-0.2,-0.2
      Fees At Polyclinics,2.7,2.5,3.9,3.9,3.9,4.9,4.9,4.9,3.4,4.2,3.3,3.3,3.3
      Fees At General Practitioners (GP) Clinics,1.7,1.6,1.9,1.8,1.9,1.8,1.7,1.7,0.4,0.8,0.8,1,1
      Fees At Specialist Outpatient Clinics,0.4,0.3,0,0,-0.2,-0.5,-0.2,-0.3,-2.4,-2.5,-2.4,-1.5,-1.5
      Outpatient Dental Services,0.6,0.4,-0.1,-0.2,-0.3,-0.3,-0.3,-0.1,2,2,1.9,2.2,2.2
      Outpatient Care Services Nec,-1.6,-1.3,-1,-1,-1,-0.9,-0.9,-0.4,-3.2,-3.1,-3.1,0.1,0
    Inpatient Care Services,2.1,2,1.5,1.5,1.9,1.6,2.2,2.3,-1.7,-1.5,-1,-0.5,-0.6
    Other Health Services,1.5,1.4,1.2,1.2,1.3,2.1,2,2,1.2,1.6,2,2.4,2.2
      Diagnostic Imaging Services & Medical Laboratory Services,1.4,1.3,1.1,1.1,1.2,2.1,2,2,1.2,1.6,2,2.4,2.2
      Patient Emergency Transportation Services & Emergency Rescue,2,2,2,2,2,2,2,2,1,1.6,2.4,2.4,2.4
    Health Insurance,8.6,9.2,14.8,14.8,16.4,16.1,16.1,14.5,9.9,13.7,13.8,13.8,13.8
  Transport,7.4,7,6,2.7,2.4,3.6,3.2,3.4,3.4,2.3,2.1,2,1.7
    Private Transport,8.6,8.1,6.6,2.4,2.7,3.7,3.5,3.8,3.7,2.4,2.1,2,1.1
